Index,Type,Synonyms,Antonyms
243,NOUN," ['course', 'sort', 'frame', 'condition', 'issue', 'normal', 'intention', 'shape', 'digit', 'kind', 'turn', 'variety', 'figure', 'form', 'prototype', 'number', 'build', 'class', 'formula', 'phase', 'flesh', 'purpose', 'grade', 'inning', 'cast', 'finger', 'rule', 'intent', 'double', 'bit', 'pulp', 'convention', 'routine', 'conception', 'aim', 'picture', 'plan', 'range', 'strain', 'practice', 'framing', 'configuration', 'pattern', 'act', 'blueprint', 'innovation', 'design', 'invention', 'image', 'name']"," ['soil', 'earth', 'basis', 'background', 'land', 'footing', 'reason', 'ground']"
244,NOUN," ['victor', 'winner', 'success']"," ['failure', 'loser']"
245,NOUN," ['order', 'club', 'nightclub', 'nine', 'fiat', 'decree', 'gild', 'guild', 'company', 'society']"," ['upset', 'disorder']"
246,NOUN," ['plus', 'asset', 'addition']", ['liability']
247,NOUN," ['defendant', 'suspect']", ['plaintiff']
248,NOUN, ['prosecution']," ['vindication', 'defense', 'Defense']"
249,NOUN," ['extension', 'identification', 'character', 'mention', 'quotation', 'credit', 'reference', 'quote', 'cite', 'recognition', 'address', 'source', 'consultation']", ['cash']
250,NOUN," ['wad', 'heap', 'flock', 'majority', 'book', 'bulk', 'plenty', 'mess', 'strength', 'mass', 'stack', 'slew', 'pile', 'script', 'multitude', 'mountain', 'pot', 'lot', 'ledger', 'record', 'deal', 'intensity', 'volume', 'mint', 'spate', 'Book', 'sight', 'people', 'raft']"," ['gentleness', 'softness']"
251,NOUN, ['default'], ['payment']
252,NOUN," ['release', 'vent', 'spill', 'waiver', 'deviation', 'departure', 'going', 'issue', 'Red', 'outlet', 'button', 'difference', 'dismissal', 'leaving', 'sack', 'discharge', 'loss', 'exit', 'expiration', 'red']"," ['addition', 'increase', 'profit', 'gain']"
253,NOUN, ['imperfection'], ['perfection']
254,NOUN, ['lender'], ['borrower']
255,NOUN," ['spending', 'outlay', 'disbursement', 'use', 'expenditure', 'consumption']", ['income']
256,NOUN," ['shortfall', 'shortage', 'famine', 'deficit', 'dearth']"," ['leading', 'tip', 'trail', 'principal', 'steer', 'lead', 'hint', 'wind', 'star', 'track']"
257,NOUN, ['adult'], ['juvenile']
258,NOUN," ['advance', 'procession', 'branch', 'improvement', 'scratch', 'offset', 'rise', 'offshoot', 'jump', 'runner', 'progression', 'start', 'approach', 'beginning', 'origin', 'starting', 'first', 'overture', 'feeler', 'source', 'outset', 'low', 'root', 'progress']"," ['middle', 'fall', 'descent', 'eye', 'decline', 'heart', 'center']"
259,NOUN," ['respite', 'agreement', 'sleep', 'relaxation', 'equilibrium', 'end', 'dimension', 'rest', 'proportion', 'balance', 'ratio', 'relief', 'difference', 'residual', 'remainder', 'ease', 'correspondence']", ['imbalance']
260,NOUN, ['capitalism'], ['socialism']
261,NOUN, ['future'], ['past']
262,NOUN," ['safe', 'rubber', 'refuge', 'safety', 'safeguard', 'precaution', 'asylum', 'resort', 'condom', 'guard']"," ['peril', 'danger', 'risk']"
263,NOUN," ['good', 'commodity', 'goodness']"," ['evil', 'bad']"
264,NOUN," ['reception', 'result', 'response', 'issue', 'resolve', 'solution', 'settlement', 'reply', 'reaction', 'solvent', 'effect', 'event', 'outcome', 'consequence', 'firmness', 'resolution', 'declaration', 'closure', 'answer', 'root']"," ['motion', 'doubt', 'research', 'inquiry', 'head', 'question']"
265,NOUN, ['specialist'], ['generalist']
266,NOUN, ['employee'], ['employer']
267,NOUN," ['need', 'demand', 'motive', 'motivation', 'essential', 'requirement', 'want', 'necessity', 'necessary']"," ['supply', 'provision']"
268,NOUN, ['comedy']," ['catastrophe', 'tragedy', 'calamity', 'disaster']"
269,NOUN," ['No', 'no']", ['yes']
270,NOUN, ['contraction'], ['expansion']
271,NOUN, ['export']," ['consequence', 'moment', 'import', 'significance', 'implication']"
272,NOUN," ['worry', 'problem', 'difficulty', 'bother', 'trouble']"," ['relaxation', 'ease', 'comfort', 'relief', 'rest', 'simplicity']"
273,NOUN, ['health']," ['illness', 'sickness']"
274,NOUN," ['master', 'superior', 'pro', 'original', 'skipper', 'maestro', 'professional', 'victor']", ['amateur']
275,NOUN," ['fairness', 'equity', 'candor']", ['inequity']
276,NOUN," ['toilet', 'screw', 'seat', 'bum', 'bed', 'rear', 'derriere', 'bathroom', 'bottom', 'can', 'privy', 'back', 'pot', 'quarter', 'place', 'layer', 'tail', 'ass', 'behind', 'AS', 'rat', 'shadow']"," ['peak', 'tip', 'top', 'upside', 'cover', 'summit', 'crown', 'height']"
277,NOUN," ['blanket', 'seat', 'bum', 'rear', 'derriere', 'binding', 'bottom', 'can', 'back', 'screen', 'top', 'covert', 'cover', 'tail', 'ass', 'behind', 'covering']"," ['movement', 'front', 'presence']"
278,NOUN, ['minority']," ['majority', 'bulk']"
279,NOUN," ['baby', 'child', 'infant', 'sister']"," ['brother', 'comrade', 'pal']"
280,NOUN, ['studio']," ['position', 'placement', 'fix', 'location']"
281,NOUN," ['Black', 'black']"," ['white', 'White']"
282,NOUN," ['parcel', 'portion', 'tract', 'share', 'package', 'software']", ['hardware']
283,NOUN, ['cooperation']," ['sway', 'list', 'rival', 'contention', 'debate', 'competition', 'controversy', 'tilt', 'careen', 'argument', 'rivalry', 'contender', 'contest', 'rock', 'line', 'competitor', 'lean', 'statement']"
284,NOUN, ['wife'], ['husband']
285,NOUN, ['retail'], ['wholesale']
286,NOUN, ['conservative'], ['liberal']
287,NOUN, ['experience'], ['inexperience']
288,NOUN," ['acceptance', 'adoption', 'espousal', 'borrowing']", ['rejection']
289,NOUN," ['disadvantage', 'penalty', 'punishment']"," ['payoff', 'reward', 'reinforcement', 'advantage']"
290,NOUN," ['impression', 'start', 'Depression', 'beginning', 'first', 'offset', 'slump', 'outset', 'low', 'depression']", ['high']
291,NOUN, ['slowing'], ['acceleration']
292,NOUN," ['utilization', 'exercise', 'study', 'function', 'work', 'practice', 'employment', 'employ', 'usage', 'workplace', 'use', 'role', 'custom', 'workout', 'habit', 'drill', 'purpose', 'example', 'consumption']", ['unemployment']
293,NOUN, ['weakness']," ['force', 'intensity', 'posture', 'strength', 'specialty', 'effectiveness']"
294,NOUN," ['N', 'amount', 'heart', 'north', 'sum', 'junction', 'mating', 'total', 'juncture', 'core', 'wedding', 'marriage', 'join', 'union', 'substance', 'meat', 'joint', 'North', 'aggregate', 'Union', 'center']"," ['interval', 'separation', 'breakup']"
295,NOUN, ['mother']," ['don', 'founder', 'Father', 'father']"
296,NOUN," ['bother', 'nuisance', 'trouble', 'pain']"," ['pleasure', 'delight']"
297,NOUN, ['willingness'], ['unwillingness']
298,NOUN, ['depreciation']," ['taste', 'appreciation', 'hold', 'grasp']"
299,NOUN," ['girl', 'miss', 'daughter', 'girlfriend']"," ['boy', 'son', 'Son']"
300,NOUN," ['runner', 'start', 'jump', 'branch', 'beginning', 'origin', 'scratch', 'first', 'starting', 'offset', 'source', 'outset', 'low', 'root', 'offshoot']"," ['center', 'eye', 'heart', 'middle']"
301,NOUN, ['poverty']," ['riches', 'wealth']"
302,NOUN," ['alien', 'foreigner', 'unknown', 'outsider']", ['citizen']
303,NOUN," ['dark', 'night', 'tail', 'shadow', 'Night', 'darkness', 'trace']"," ['sparkle', 'Day', 'lighting', 'day', 'spark', 'daytime', 'light', 'Light']"
304,NOUN, ['complexity']," ['restraint', 'ease', 'simplicity']"
305,NOUN, ['dilution'], ['concentration']
306,NOUN," ['resistance', 'opponent', 'enemy', 'opposition', 'confrontation', 'opposite']"," ['booster', 'champion', 'friend', 'supporter', 'ally']"
307,NOUN," ['jet', 'spring', 'leak', 'flight', 'bounce', 'leap', 'fountain', 'outflow', 'escape', 'give']"," ['inflow', 'influx']"
308,NOUN," ['celebrity', 'fame']", ['infamy']
309,NOUN, ['uncle'], ['aunt']
310,NOUN," ['exclusion', 'exception']", ['inclusion']
311,NOUN, ['weakening'], ['strengthening']
312,NOUN, ['female']," ['male', 'Male']"
313,NOUN," ['incompetence', 'incompetency']", ['competence']
314,NOUN, ['humility']," ['conceit', 'pride']"
315,NOUN," ['victory', 'triumph']"," ['frustration', 'defeat']"
316,NOUN, ['minimum'], ['maximum']
317,NOUN," ['bull', 'cop', 'pig', 'Bull', 'crap', 'copper', 'hog']", ['bear']
318,NOUN," ['specific', 'detail', 'particular', 'item']", ['general']
319,NOUN," ['consolidation', 'integration']", ['segregation']
320,NOUN, ['efficiency'], ['inefficiency']
321,NOUN," ['training', 'provision', 'facility', 'readiness', 'set', 'prep', 'eagerness', 'education', 'proviso', 'preparation', 'breeding', 'homework', 'planning', 'supply']"," ['resolution', 'settlement', 'solution', 'solvent', 'result', 'firmness', 'answer', 'declaration', 'closure', 'resolve']"
322,NOUN, ['inconvenience']," ['gizmo', 'appliance', 'widget', 'convenience', 'gadget']"
323,NOUN," ['young', 'younker', 'Young', 'youth']"," ['elderly', 'aged']"
324,NOUN, ['rich'], ['poor']
325,NOUN, ['ineptitude'], ['worth']
326,NOUN," ['quiet', 'silence']"," ['sound', 'phone', 'audio', 'strait']"
327,NOUN," ['defect', 'crack', 'respite', 'rupture', 'transformation', 'mistake', 'severance', 'flaw', 'breach', 'error', 'disruption', 'misunderstanding', 'breaking', 'shortcoming', 'pause', 'rift', 'switch', 'blemish', 'fault', 'sack', 'recess', 'suspension', 'fracture', 'gap', 'break', 'wrongdoing', 'intermission', 'slip', 'shift', 'interruption']"," ['merit', 'virtue']"
328,NOUN," ['boundary', 'edge', 'snack', 'bite', 'bit', 'border', 'sharpness', 'morsel']"," ['dullness', 'gentleness', 'softness']"
329,NOUN, ['conscript']," ['volunteer', 'voluntary', 'Volunteer']"
330,NOUN, ['honesty'], ['dishonesty']
331,NOUN," ['commitment', 'loyalty', 'allegiance']", ['disloyalty']
332,NOUN, ['unhappiness'], ['happiness']
333,NOUN," ['convict', 'inmate', 'con']", ['outpatient']
334,NOUN, ['insolvency'], ['solvency']
335,NOUN, ['lady']," ['noble', 'Lord', 'master']"
336,NOUN, ['innocence'], ['guilt']
337,NOUN, ['privatization'], ['nationalization']
338,NOUN, ['local']," ['limited', 'express']"
339,NOUN," ['hunch', 'mistrust', 'suspicion']"," ['faith', 'confidence', 'combine', 'cartel', 'reliance', 'trust']"
340,NOUN, ['distribution'], ['concentration']
341,NOUN, ['negative'], ['affirmative']
342,NOUN," ['display', 'appearance', 'show']"," ['disappearance', 'fade']"
343,NOUN," ['dear', 'heat', 'rage', 'love', 'passion']", ['hate']
344,NOUN, ['latter'], ['former']
345,NOUN," ['interior', 'inside']", ['outside']
346,NOUN," ['offense', 'crime', 'offensive']"," ['vindication', 'defense', 'Defense']"
347,NOUN," ['skepticism', 'disbelief']"," ['notion', 'opinion', 'impression', 'feeling', 'belief']"
348,NOUN, ['sterility']," ['fertility', 'richness']"
349,NOUN," ['nonentity', 'nobody']"," ['being', 'existence', 'creation', 'world', 'universe']"
350,NOUN, ['disobedience']," ['compliance', 'submission']"
351,VERB," ['ascend', 'grow', 'develop', 'rear', 'resurrect', 'originate', 'heighten', 'wax', 'rise', 'climb', 'lift', 'arise', 'jump', 'mount', 'ride', 'full', 'surface', 'rebel', 'prove']"," ['decline', 'wane']"
352,VERB," ['obtain', 'light', 'herald', 'exercise', 'travel', 'succeed', 'follow', 'operate', 'total', 'count', 'happen', 'impart', 'perform', 'bewilder', 'gain', 'generate', 'start', 'work', 'extend', 'number', 'mother', 'execute', 'stimulate', 'produce', 'cause', 'amount', 'serve', 'induce', 'hail', 'incur', 'father', 'trace', 'make', 'strike', 'survey', 'practice', 'precipitate', 'pursue', 'get', 'have', 'grow', 'list', 'develop', 'draw', 'do', 'take', 'be', 'capture', 'beget', 'add', 'acclaim', 'bring', 'adopt', 'become', 'answer', 'occur', 'arrest', 'flow', 'fetch', 'experience', 'sum', 'dress', 'aim', 'begin', 'act', 'find', 'shine', 'derive', 'drive', 'convey', 'accrue', 'come', 'catch', 'will', 'entrust', 'move', 'lead', 'live', 'proceed', 'provide', 'beat', 'sustain']"," ['hang', 'stick', 'return', 'receive', 'arrive', 'acquire', 'lessen', 'break', 'result', 'last', 'exit', 'sound', 'choke', 'forget', 'allow', 'endure', 'belong', 'rifle', 'blend', 'leave', 'function', 'fit', 'pass', 'survive', 'run', 'depart', 'fail', 'die', 'expire', 'decrease', 'descend', 'diminish', 'puzzle', 'pose', 'settle', 'behave', 'suffer',  'deduct',  'observe', 'watch', 'fix', 'manage', 'fare', 'fall', 'arrange', 'accompany', 'set', 'gravel', 'suffice', 'give', 'let', 'tally', 'comply', 'go', 'contract']"
353,VERB," ['advance', 'elevate', 'benefit', 'realize', 'grow', 'promote', 'further', 'develop', 'evolve', 'succeed', 'win', 'take', 'follow', 'acquire', 'attain', 'gain', 'reach', 'earn', 'hit', 'adopt', 'gather', 'boost', 'produce', 'progress', 'upgrade', 'learn', 'clear', 'make', 'encourage', 'profit', 'derive', 'assume', 'raise', 'get']"," ['fail', 'recede', 'lose', 'break', 'bomb', 'suffer', 'miss', 'die', 'go', 'neglect']"
354,VERB," ['spring', 'obtain', 'beat', 'run', 'stick', 'extend', 'rise', 'proceed', 'vary', 'function', 'bewilder', 'generate', 'rifle', 'start', 'mother', 'stimulate', 'produce', 'cause', 'receive', 'induce', 'suffer', 'come', 'sound', 'incur', 'pop', 'father', 'make', 'work', 'get', 'have', 'grow', 'develop', 'draw', 'take', 'capture', 'beget', 'arrive', 'acquire', 'bring', 'arise', 'operate', 'can', 'belong', 'become', 'pioneer', 'arrest', 'fetch', 'leap', 'experience', 'originate', 'aim', 'move', 'jump', 'travel', 'catch', 'begin', 'pose', 'find', 'drive', 'convey', 'derail', 'live', 'lead', 'blend', 'initiate', 'defend', 'intercept', 'harbor', 'apply', 'declare', 'deem', 'book', 'support', 'nurse', 'sustain']"," ['carry', 'prevail', 'break', 'bear', 'guard', 'admit', 'block', 'deflect', 'entertain', 'fire', 'agree', 'keep', 'control', 'bar', 'discontinue', 'stuff', 'freeze', 'contain', 'cop', 'dismiss', 'withstand', 'impede', 'hinder', 'stymie', 'embarrass', 'maintain', 'accommodate', 'moderate', 'reserve', 'restrain', 'terminate', 'complete', 'throw', 'obligate', 'oblige', 'dispatch', 'check', 'discharge', 'nail', 'cease', 'quit', 'curb', 'collar', 'bind', 'sack', 'stem', 'displace', 'jam', 'staunch', 'end', 'forget', 'parry', 'confine', 'stop', 'retain', 'halt', 'obstruct', 'finish', 'hold', 'kill', 'let', 'divide', 'down', 'choke', 'go', 'puzzle', 'leave', 'split', 'gravel', 'part', 'parachute', 'die', 'depart', 'survive', 'sidetrack', 'break', 'exit', 'diverge', 'pass', 'fail', 'skip', 'expire', 'separate', 'last', 'fix', 'endure', 'contract', 'quit', 'fit']"
355,VERB," ['rally', 'bewilder', 'breathe', 'get', 'consist', 'perch', 'bait', 'mold', 'position', 'model', 'place', 'ride', 'reside', 'mount', 'invest', 'pattern', 'posture', 'drive', 'present', 'pose', 'lay', 'grow', 'originate', 'arise', 'rise', 'develop', 'support', 'rebel']"," ['fend', 'stomach', 'bear', 'endure', 'suffer', 'resist', 'stand', 'lift', 'tolerate', 'digest', 'seat', 'sit', 'beat', 'rest', 'put', 'stick', 'remain', 'puzzle', 'set', 'gravel', 'stay', 'lie']"
356,VERB," ['secure', 'specify', 'restore', 'cast', 'locate', 'consist', 'position', 'tick', 'post', 'organize', 'doctor', 'range', 'repair', 'prepare', 'commit', 'compensate', 'identify', 'present', 'order', 'situate', 'manipulate', 'clothe', 'influence', 'define', 'lop', 'restrain', 'grade', 'align', 'mold', 'puzzle', 'establish', 'found', 'denounce', 'check', 'point', 'aim', 'bushel', 'stage', 'decide', 'plant', 'correct', 'place', 'sterilize', 'crop', 'label', 'pose', 'dress', 'settle', 'behave', 'confine', 'clip', 'scar', 'put', 'condition', 'arrange', 'station', 'shape', 'perform', 'watch', 'fix', 'manage', 'devise', 'execute', 'qualify', 'site', 'cause', 'learn', 'couch', 'rank', 'note', 'model', 'institute', 'adapt', 'chasten', 'come', 'determine', 'fare', 'gravel', 'regulate', 'send', 'make', 'brand', 'practice', 'invest', 'rig', 'posture', 'get', 'educate', 'redress', 'garment', 'deposit', 'see', 'do', 'sit', 'frame', 'constitute', 'intend', 'limit', 'designate', 'pit', 'tag', 'curry', 'answer', 'restrict', 'direct', 'castigate', 'apparel', 'assign', 'cook', 'discipline', 'right', 'narrow', 'act', 'find', 'distinguish', 'train', 'notice', 'suffice', 'rest', 'adjust', 'format', 'serve', 'lay', 'set', 'slump', 'trim', 'lie', 'decline', ]"," ['grow', 'originate', 'arise', 'rear', 'climb', 'rise', 'resurrect', 'surface', 'heighten', 'wax', 'jump', 'lift', 'develop', 'prove', 'rebel', 'ascend', 'mount', 'mark', 'ready', 'exercise', 'beat', 'rate', 'stick', 'implant', 'specialize', 'bewilder', 'score', 'target']"
357,VERB," ['confine', 'maintain', 'obtain', 'accommodate', 'pay', 'exercise', 'collapse', 'return', 'hire', 'admit', 'prevail', 'curb', 'moderate', 'sustain', 'hand', 'keep', 'apply', 'throw', 'gift', 'support', 'contain', 'reserve', 'enforce', 'make', 'hold', 'retain', 'engage', 'practice', 'sacrifice', 'declare', 'commit', 'deem', 'nurse', 'present', 'bear', 'halt', 'have', 'feed', 'control', 'take', 'defend', 'carry', 'dedicate', 'reach', 'impose', 'restrain', 'withstand', 'use', 'drill', 'bind', 'arrest', 'leave', 'book', 'establish', 'implement', 'oblige', 'devote', 'obligate', 'entertain', 'guard']"," ['exempt', 'excuse', 'relieve', 'free', 'do', 'agree', 'contribute', 'open', 'check', 'founder', 'harbor', 'yield', 'pass', 'employ', 'render', 'grant', 'impart', 'afford']"
358,VERB," ['save', 'maintain', 'confine', 'obtain', 'accommodate', 'mention', 'wield', 'salvage', 'watch', 'assert', 'remain', 'preserve', 'admit', 'prevail', 'curb', 'moderate', 'sustain', 'nurture', 'keep', 'apply', 'support', 'suffer', 'note', 'contain', 'reserve', 'intimidate', 'prevent', 'make', 'retain', 'hold', 'conserve', 'forbid', 'remark', 'continue', 'declare', 'observe', 'honor', 'deem', 'nurse', 'get', 'bear', 'spare', 'have', 'control', 'defend', 'take', 'respect', 'carry', 'relieve', 'limit', 'restrain', 'withstand', 'restrict', 'bind', 'arrest', 'constrain', 'economize', 'book', 'oblige', 'agree', 'check', 'celebrate', 'move', 'harbor', 'redeem', 'cover', 'detect', 'find', 'uphold', 'notice', 'stay', 'write', 'prolong', 'affirm', 'obligate', 'entertain', 'guard', 'follow', 'extend', 'proceed', 'confirm', 'allow', 'permit', 'let', 'lease', 'give']"," ['bankrupt', 'collapse', 'split', 'reveal', 'break', 'lose', 'pause', 'violate', 'develop', 'recede', 'discover', 'part', 'rent', 'disclose', 'better', 'relegate', 'offend', 'breach', 'dampen', 'founder', 'bust', 'stop', 'miss', 'separate', 'expose', 'soften', 'damp', 'crack', 'smash', 'interrupt', 'fail', 'countenance', 'fracture', 'cease', 'weaken', 'wear', 'die', 'bump', 'burst', 'go', 'discontinue', 'quit', 'ruin', 'deliver', 'throw', 'halt', 'preclude']"
359,VERB," ['appoint', 'agree', 'suffice', 'grant', 'garner', 'control', 'grade', 'accommodate', 'solve', 'repair', 'pay', 'mention', 'guide', 'charter', 'quarter', 'secure', 'set', 'organize', 'commit', 'situate', 'submit', 'turn', 'become', 'arrest', 'mold', 'pass', 'confine', 'arrange', 'pose', 'absorb', 'keep', 'moderate', 'sustain', 'admit', 'gather', 'learn', 'reserve', 'give', 'develop', 'discover', 'part', 'disclose', 'read', 'occupy', 'reach', 'excite', 'bewilder', 'score', 'start', 'build', 'exploit', 'create', 'cite', 'show', 'stimulate', 'apply', 'serve', 'induce', 'clear', 'fill', 'energize', 'trace', 'strain', 'dispatch', 'manipulate', 'benefit', 'feed', 'take', 'be', 'lease', 'oblige', 'experience', 'contribute', 'aim', 'exonerate', 'possess', 'convey', 'fabricate', 'reap', 'dress', 'stir', 'obtain', 'farm', 'rush', 'drag', 'shape', 'fake', 'choose', 'attain', 'require', 'hit', 'hire', 'execute', 'key', 'hand', 'produce', 'manufacture', 'cause', 'thrust', 'determine', 'brace', 'make', 'work', 'play', 'declare', 'instal', 'raise', 'assume', 'consume', 'get', 'have', 'do', 'constitute', 'construct', 'capture', 'arouse', 'beget', 'need', 'necessitate', 'process', 'dedicate', 'touch', 'earn', 'net', 'wreak', 'strive', 'discharge', 'launch', 'shed', 'answer', 'bind', 'fetch', 'feature', 'accomplish', 'founder', 'begin', 'find', 'distinguish', 'propose', 'derive', 'lead', 'mother', 'fox', 'base', 'let', 'maintain', 'realize', 'spring', 'mark', 'ready', 'exercise', 'ground', 'beat', 'run', 'stick', 'nominate', 'function', 'generate', 'deliver', 'string', 'form', 'specify', 'restore', 'prevail', 'stumble', 'cast', 'illuminate', 'see', 'depict', 'suffer', 'support', 'go', 'father', 'doctor', 'shoot', 'retain', 'prepare', 'identify', 'present', 'bear', 'advance', 'shake', 'represent', 'grow', 'line', 'win', 'defend', 'carry', 'arrive', 'acquire', 'influence', 'define', 'demonstrate', 'operate', 'subscribe', 'progress', 'establish', 'found', 'devote', 'contact', 'bushel', 'understand', 'plant', 'refer', 'yield', 'involve', 'birth', 'switch', 'profit', 'render', 'crop', 'drive', 'lick', 'sour', 'obligate', 'behave', 'entertain', 'tie', 'perform', 'gain', 'force', 'fix', 'manage', 'seduce', 'demand', 'deal', 'devise', 'project', 'conduct', 'describe', 'gift', 'institute', 'incur', 'call', 'contain', 'fare', 'authorize', 'study', 'forge', 'strike', 'practice', 'engage', 'deem', 'nurse', 'exact', 'educate', 'name', 'prove', 'deposit', 'consider', 'list', 'draw', 'develop', 'achieve', 'attract', 'own', 'bring', 'top', 'withstand', 'acquit', 'adopt', 'pack', 'provoke', 'direct', 'claim', 'crap', 'hasten', 'open', 'cook', 'recognize', 'rent', 'catch', 'discover', 'act', 'train', 'flip', 'impart', 'select', 'afford', 'guard']"," ['bankrupt', 'collapse', 'split', 'reveal', 'break', 'pause', 'violate', 'better', 'relegate', 'breach', 'offend', 'dampen', 'bust', 'stop', 'soften', 'separate', 'check', 'expose', 'damp', 'crack', 'smash', 'interrupt', 'fail', 'fracture', 'weaken', 'wear', 'die', 'bump', 'burst', 'discontinue', 'ruin', 'hurl', 'curb', 'throw', 'drop', 'gravel', 'contract', 'remove', 'sacrifice', 'confuse', 'leave', 'puzzle', 'tally', 'puff', 'restrain', 'book', 'harbor', 'murder', 'accept', 'halt', 'limit', 'withdraw', 'sterilize', 'come', 'sack', 'off', 'receive', 'film', 'return', 'pull', 'ask', 'hold', 'befuddle']"
360,VERB," ['mobilize', 'unfold', 'blossom', 'dust', 'disseminate', 'administer', 'open', 'extend', 'sprinkle', 'distribute', 'air', 'send', 'broadcast', 'lot', 'transmit', 'deal', 'dispense', 'circulate', 'scatter', 'dissipate', 'stretch', 'dispel', 'afford', 'circle', 'give', 'spread']"," ['collect', 'accumulate', 'garner', 'assemble', 'gain', 'gather', 'conglomerate', 'amass', 'close', 'fold', 'tuck', 'meet']"
361,VERB," ['speculate', 'envisage', 'weigh', 'see', 'consider', 'take', 'debate', 'entail', 'count', 'intend', 'think', 'suppose', 'look', 'figure', 'regain', 'hazard', 'designate', 'depend', 'conceive', 'return', 'deal', 'bet', 'specify', 'imply', 'deliberate', 'retrieve', 'calculate', 'believe', 'imagine', 'recall', 'compute', 'forecast', 'commend', 'recover', 'venture', 'guess', 'remember', 'regard', 'study', 'conjecture', 'reckon', 'signify', 'find', 'trust', 'gauge', 'mean', 'judge', 'view', 'echo', 'say', 'estimate']"," ['forget', 'bury', 'leave', 'block', 'withdraw']"
362,VERB," ['obtain', 'pledge', 'stake', 'game', 'run', 'back', 'permit', 'confirm', 'deliver', 'underpin', 'assert', 'admit', 'prevail', 'endure', 'conduct', 'second', 'sign', 'sustain', 'moderate', 'give', 'nurture', 'apply', 'throw', 'meet', 'lose', 'support', 'suffer', 'go', 'survive', 'make', 'sponsor', 'expect', 'certify', 'declare', 'digest', 'shop', 'deem', 'nurse', 'assume', 'tolerate', 'get', 'bear', 'have', 'represent', 'weather', 'control', 'take', 'patronage', 'carry', 'stomach', 'ache', 'allow', 'last', 'withstand', 'swear', 'acquit', 'subscribe', 'frequent', 'stand', 'champion', 'patronize', 'oblige', 'check', 'endorse', 'persist', 'concentrate', 'harbor', 'yield', 'reassert', 'birth', 'resist', 'live', 'wear', 'prolong', 'affirm', 'fight', 'obligate', 'behave', 'entertain', 'guard', 'confine', 'maintain', 'accommodate', 'pay', 'fend', 'accept', 'keep', 'contain', 'agree', 'reserve', 'book']"," ['contradict', 'negate', 'curb', 'retain', 'hold', 'oppose', 'halt', 'defend', 'hurt', 'restrain', 'arrest', 'bind']"
363,VERB," ['unfold', 'offer', 'complicate', 'go', 'nail', 'widen', 'run', 'smash', 'wave', 'extend', 'billow', 'carry', 'flourish', 'elaborate', 'inflate', 'prosper', 'pass', 'prolong', 'strain', 'cover', 'expand', 'continue', 'refine', 'thrive', 'balloon', 'thunder', 'broaden', 'blast', 'lead', 'stretch', 'boom']"," ['shorten', 'cut', 'shrink', 'get', 'compact', 'sign', 'press', 'abridge', 'narrow', 'contract', 'undertake', 'compress', 'take', 'concentrate', 'reduce', 'squeeze']"
364,VERB," ['dip', 'realize', 'solve', 'elapse', 'guide', 'steer', 'melt', 'run', 'extend', 'happen', 'tend', 'reject', 'function', 'quarter', 'generate', 'rifle', 'start', 'string', 'deliver', 'transmit', 'return', 'fret', 'prevail', 'endure', 'escape', 'cast', 'apply', 'throw', 'lean', 'hunt', 'fleet', 'offer', 'result', 'clear', 'chance', 'sound', 'slump', 'survive', 'ladder', 'campaign', 'trace', 'range', 'strain', 'race', 'precipitate', 'continue', 'commit', 'broaden', 'present', 'feed', 'outperform', 'widen', 'communicate', 'line', 'take', 'puff', 'carry', 'expand', 'operate', 'drop', 'become', 'foul', 'overhaul', 'bleed', 'empower', 'recall', 'establish', 'crown', 'devote', 'contribute', 'contact', 'point', 'ply', 'move', 'lapse', 'materialize', 'exonerate', 'pass', 'yield', 'travel', 'illuminate', 'render', 'shine', 'unravel', 'convey', 'pinch', 'precede', 'reap', 'settle', 'unfold', 'hang', 'light', 'tie', 'drag', 'collapse', 'proceed', 'attain', 'gain', 'maneuver', 'force', 'outdo', 'hit', 'absorb', 'execute', 'conduct', 'moderate', 'hand', 'give', 'gift', 'describe', 'head', 'come', 'eliminate', 'depart', 'languish', 'authorize', 'make', 'work', 'play', 'strike', 'retort', 'exceed', 'stifle', 'surpass', 'strangle', 'modernize', 'get', 'fit', 'bump', 'have', 'course', 'achieve', 'repay', 'bury', 'attract', 'dedicate', 'top', 'reach', 'touch', 'outstrip', 'earn', 'net', 'last', 'strive', 'sack', 'belong', 'direct', 'occur', 'flow', 'chair', 'open', 'accomplish', 'incline', 'persist', 'depict', 'founder', 'pull', 'rejoin', 'cover', 'find', 'refund', 'live', 'accrue', 'lead', 'grant', 'impart', 'stretch', 'prolong', 'blend', 'afford', 'choke', 'wither']"," ['fail', 'break', 'bomb', 'die', 'go', 'neglect', , 'leave', 'decrease', 'descend', 'go', 'withdraw', 'acquit', 'discharge', 'exit', 'draw', 'sink', 'lessen', 'hold', 'sacrifice', 'spend', 'pay', 'die', 'fall', 'diminish', 'fade', 'expire', 'decimate', 'eradicate']"
365,VERB," ['hold', 'allow', 'accommodate', 'include', 'admit', 'acknowledge', 'take', 'accept']"," ['bar', 'omit', 'shut', 'except', 'exclude']"
